" The customer doesn't exist in the system anymore","ደንበኛው ከእንግዲህ በስርዓቱ ውስጥ አይኖርም"
" and ","እና"
"(Absolute path or Relative to Magento install root, ex. var/export)","(ለMagento መጫኛ ስርወ አቃፊ ዋና ዱካ ወይም አንጻራዊ፣  ለምሳሌ፦ var/export)"
"(For US 2-letter state names)","(ለዩ.ኤስ. ባለ 2-ፊደል የክልል ስሞች)"
"(If left empty will be auto-generated)","(ባዶ ከተተወ በራስ-ሰር ይመነጫል)"
"(Leave empty for first spreadsheet)","(ለመጀመሪያ የቀመር ሉህ ባዶ ተው)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(የ«ሱቅ» አምድ ባዶ ከሆነ ወይም ከውጪ በሚመጣ ፋይል ውስጥ ከታጣ፣ ምርቶች ወደዚህ ሱቅ ይታከላሉ/ይዘምናሉ።)"
"(Shift-)Click or drag to change value","እሴት ለመለወጥ (Shift-)ጠቅ ያድርጉ ወይም ይጎትቱ"
"(Starting with)","(የሚጀምረው)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(«አይ» ሲሆን፣ የተጓደኑ መስኮች ብቻ ይመጣሉ። ሲጓደን፣ «መስክ1»፣ «መስክ2»፣ ወዘተ ተጠቀም)"
"(You have to increase php memory_limit before changing this value)","(ይህን እሴት ከመቀየርዎ በፊት የphp memory_limit መጨመር አለብዎት)"
"(\t for tab)","(\t ለtab)"
"* - If indexing is in progress, it will be killed and new indexing process will start","* - መረጃ መጠቆም በሂደት ላይ ከሆነ፣ እሱ ይገደል እና አዲስ መረጃ የመጠቆም ሂደት ይጀምራል"
"- Click on any of the time parts to increase it","- ለመጨመር ከሰዓት አካሎቹ አንዱን ጠቅ ያድርጉ"
"- Hold mouse button on any of the above buttons for faster selection.","- በፍጥነት ለመምረጥ ከላይ ካሉት አዝራሮች አንዱን ትጭነው ይያዙ።"
"- Use the %s buttons to select month","- ወር ለመምረጥ %s አዝራሮችን ይጠቀሙ"
"- Use the %s, %s buttons to select year","- ዓመት ለመምረጥ %s፣ %s አዝራሮችን ይጠቀሙ"
"- or Shift-click to decrease it","- ወይም ለመቀነስ Shift-ጠቅ ያድርጉ"
"- or click and drag for faster selection.","- ወይም በፍጥነት ለመምረጥ ጠቅ አድርገው ይጎትቱ።"
"-- Please Select --","-- እባክዎ ይምረጡ --"
"-- Please select --","-- እባክዎ ይምረጡ --"
"-- Please select a category --","-- እባክዎ አንድ ምድብ ይምረጡ --"
"--Please Select--","--እባክዎ ይምረጡ--"
"1 Hour","1 ሰዓት"
"12 Hours","12 ሰዓታት"
"12h AM/PM","12ሰ AM/PM"
"2 Hours","2 ሰዓታት"
"24 Hours","24 ሰዓታት"
"24h","24ሰ"
"2YTD","2YTD"
"6 Hours","6 ሰዓታት"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class="page-heading">404 ስህተት</h1><p>ገጹ አልተገኘም።</p>"
"<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>","<h1 class="page-heading">መዳረሻ ተከልክሏል</h1><p>መዳረሻ ተከልክሏል።</p>"
"A new password was sent to your email address. Please check your email and click Back to Login.","አዲስ የይለፍ ቃል ወደ ኢሜይል አድራሻዎ ተልኳል። እባክዎ ኢሜይልዎን ይመልከቱ እና «ወደ መግቢያ ተመለስ» ላይ ጠቅ አድርግ። "
"API Stability","API ደልዳላነት"
"API Version","API ስሪት"
"API:","API፦"
"About the calendar","ስለ ቀን መቁጠሪያ"
"Access Denied.","መዳረሻ ተከልክሏል።"
"Access Deny","መዳረሻ ተከልክሏል"
"Account Created in:","መለያ የተፈጠረው፦"
"Account Created on (%s):","መለያ በ(%s) ላይ ተፈጥሯል፦"
"Account Created on:","መለያ የተፈጠረው፦"
"Account Information","የመለያ መረጃ"
"Account status","የመለያ ሁኔታ"
"Account successfully saved","መለያ በተሳክ ሁኔታ ተቀምጧል"
"Action","ተግባር"
"Actions","ተግባራት"
"Actions XML","ተግባራት XML"
"Active","ንቁ"
"Add","አክል"
"Add Contents Path","የይዘቶች ዱካ አክል"
"Add Exception","የሚለዩ አክል"
"Add Field Mapping","የመስክ ማጓደኛ አክል"
"Add Field with URL:","መስክ ከዩአራኤል ጋር አክል፦"
"Add Maintainer","ጠባቂ አክል"
"Add New Image","አዲስ ምስል አክል"
"Add New Profile","አዲስ መገለጫ አክል"
"Add New Role","አዲስ ሚና አክል"
"Add New Template","አዲስ አብነት አክል"
"Add New Urlrewrite","አዲስ ዩአርኤል ዳግም መጻፍ አክል"
"Add New User","አዲስ ተጠቃሚ አክል"
"Add New osCommerce Profile","አዲስ የንግድ መገለጫ አክል"
"Add PHP Extension dependency","የPHP ቅጥያ ጥገኝነት አክል"
"Add Package dependency","የጥቅል ጥገኝነት አክል"
"Add Subpackage dependency","የንዑስ ጥቅል ጥገኝነት አክል"
"Add Urlrewrite","ዩአርኤል ዳግም መጻፍ አክል"
"Add Urlrewrite for a Category","ለምድብ የዩአርኤል ዳግም መጻፍ አክል"
"Add Urlrewrite for a Product","ለምርት የዩአርኤል ዳግም መጻፍ አክል"
"Add after","ከዚህ በኋላ አክል"
"Add new Role","አዲስ ሚና አክል"
"Add new store view map","አዲስ የሱቅ እይታ ካርታ አክል"
"Add new website map","አዲስ የድር ጣቢያ ካርታ አክል"
"Address Type:","የአድራሻ አይነት፦"
"Admin","አስተዳዳሪ"
"Advanced Admin Section","የላቀ የአስተዳዳሪ ክፍል"
"Advanced Profiles","የላቁ መገለጫዎች"
"Advanced Section","የላቀ ክፍል"
"Aggregate Order","የትእዛዝ አጠቃላይ ድምር"
"All","ሁሉም"
"All Allowed Countries","ሁሉም የተፈቀደላቸው አገሮች"
"All Cache","ሁሉም የተሸጎጡ"
"All Files","ሁሉም ፋይሎች	"
"All Store Views","ሁሉም የሱቅ እይታዎች"
"All Tags","ሁሉም የተሰጡ መለያዎች"
"All Websites","ሁሉም ድረ-ገጾች"
"All countries","ሁሉም አገሮች"
"All fields","ሁሉም መስኮች"
"All possible rates were fetched, click on ""Save"" to apply","ሁሉም ሊሆኑ የሚችሉ ተመኖች ተገኝተዋል፣ «አስቀምጥ» ላይ ጠቅ ያድርጉ"
"All rates were fetched, click on ""Save"" to apply","ሁሉም ተመኖች ተገኝተዋል፣ «አስቀምጥ» ላይ ጠቅ ያድርጉ"
"All valid rates successfully saved","ሁሉም ልክ ይሆኑ ተመኖች በተሳካ ሁኔታ ተቀምጠዋል"
"Amounts","መጠኖች"
"Any","ማንኛውም"
"Any Attribute Set","ማንኛውም የአይነታ ስብስብ"
"Any Group","ማንኛውም ቡድን"
"Any Status","ማንኛውም ሁኔታ"
"Any Store","ማንኛውም ሱቅ"
"Any Type","ማንኛውም አይነት"
"Any Visibility","ማንኛውም ታይነት "
"Api Key","Api ቁልፍ "
"Api Key Confirmation","Api ቁልፍ ማረጋገጫ"
"Archive file name:","የፋይል ስም በማህደር ያዝ፦"
"Are you sure that you want to delete this template?","እርግጠኛ ነዎት ይህን አብነት መሰረዝ ይፈልጋሉ?"
"Are you sure that you want to strip tags?","እርግጠኛ ነዎት የተሰጡትን መለያዎች ማንሳት ይፈልጋሉ?"
"Are you sure you want to do this?","እርግጠኛ ነዎት ይህን ማድረግ ይፈልጋሉ?"
"Are you sure you wish to INSTALL all selected packages?","እርግጠኛ ነዎት ሁሉንም የተመረጡ ጥቅሎች መጫን ይፈልጋሉ?"
"Are you sure you wish to UNINSTALL all selected packages?","እርግጠኛ ነዎት ሁሉንም የተመረጡ ጥቅሎች ማራገፍ ይፈልጋሉ?"
"Are you sure you wish to UPGRADE all selected packages?","እርግጠኛ ነዎት ሁሉንም የተመረጡ ጥቅሎች ማሻሻል ይፈልጋሉ?"
"Area","ስፋት"
"Assigned","ተመድቧል"
"Attribute Set Name:","የአይነታ ስብስብ ስም፦"
"Attribute set successfully saved.","የአይነታ ስብስብ በተሳካ ሁኔታ ተቀምጧል።"
"Attribute set was successfully removed.","የአይነታ ስብስብ በተሳካ ሁኔታ ተወግዷል።"
"Attributes","አይነታዎች"
"Available Products","የሚገኙ ምርቶች"
"Available Version","የሚገኙ ስሪቶች"
"Average Order Amount","አማካይ የታዘዘ መጠን"
"Average Orders","አማካይ ትእዛዞች"
"Back","ተመለስ"
"Back to Login","ወደ መግቢያ ተመለስ"
"Back to local packages","ወደ አካባቢያዊ ጥቅሎች ተመለስ"
"Backup","ምትኬ"
"Backup record was deleted","የምትኬ መዝገብ ተሰርዟል"
"Backup successfully created","ምትኬ በተሳካ ሁኔታ ተፈጥሯል"
"Backups","ምትኬዎች"
"Base currency","መነሻ ምንዛሪ"
"Bcc","ስውር ቂጂ"
"Bestsellers","ከፍተኛ ሻጮች"
"Big Image","ትልቅ ምስል"
"Billing Address","የመክፈያ አድራሻ"
"Billing address","የመክፈያ አድራሻ"
"Block Information","የጥቅል መረጃ"
"Both (without and with tax)","ሁለቱም (ቀረጥ ጨምሮ እና ሳይጨምር)"
"Browse Available Extensions","የሚገኙ ቅጥያዎችን አስስ"
"Browse Available Remote Extensions","የሚገኙ የሩቅ ቅጥያዎችን አስስ"
"Browse Files...","ፋይሎችን አስስ..."
"Bundle Items","እስር ንጥሎች"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","ተለዋዋጭ የዋጋ አሰጣጥ ያለው እስር ብጁ የተገለጹ አማራጮችን አያካትም። አማራጮች አይቀመጡም።"
"CRITICAL","ወሳኝ"
"CSV","CSV"
"CSV / Tab separated","CSV / በTab የተለዩ"
"Cache Control","የመሸጎጫ መቆጣጠሪያ"
"Cache Control (beta)","የመሸጎጫ መቆጣጠሪያ (ግርድፍ ቅጂ)"
"Cache Management","መሸጎጫ ማቀናበር"
"Can not add new comment.","አዲስ አስተያየት ማከል አልተቻለም።"
"Can not add tracking number.","የመከታተያ ቁጥር ማከል አልተቻለም።"
"Can not delete tracking number.","የመከታተያ ቁጥር መሰረዝ አልተቻለም።"
"Can not do credit memo for order","ለትእዛዝ የክሬዲት ማስታወሻ መስራት አልተቻለም"
"Can not do invoice for order","ለትእዛዝ ደረሰኝ መስራት አልተቻለም"
"Can not do shipment for order.","ለትእዛዝ ማጓጓዣ መስራት አልተቻለም።"
"Can not initialize shipment for adding tracking number.","የመከታተያ ቁጥር ለማከል ማጓጓዣ ማስጀመር አልተቻለም።"
"Can not initialize shipment for delete tracking number.","የመከታተያ ቁጥር ለመሰረዝ ማጓጓዣ ማስጀመር አልተቻለም።"
"Can not load track with retrieving identifier.","መከታተያ ከማውጫ መለያ ጋር መጫን አልተቻለም።"
"Can not retrieve tracking number detail.","የመከታተያ ቁጥር ዝርዝር ማውጣት አልተቻለም።"
"Can not save credit memo","የክሬዲት ማስታወሻ ማስቀመጥ አልተቻለም"
"Can not save invoice","ደረሰኝ ማስቀመጥ አልተቻለም"
"Can not save shipment.","ማጓጓዣ ማስቀመጥ አልተቻለም።"
"Can not send shipment information.","የማጓጓዣ መረጃ መላክ አልተቻለም።"
"Can not update item qty","የንጥል ብዛት ማዘመን አልተቻለም"
"Can't delete design change","የንድፍ ለውጥን መሰረዝ አልተቻለም "
"Can't find email address.","የኢሜይል አድራሻ ማግኘት አልተቻለም።"
"Cancel","ይቅር"
"Card Verification Number","የካርድ ማረጋገጫ ቁጥር"
"Catalog","ካታሎግ"
"Catalog Rewrites","የካታሎግ ዳግም ጸኃፊዎች"
"Catalog Rewrites was refreshed successfully","የካታሎግ ዳግም ጽሁፎች በተሳካ ሁኔታ ታድሰዋል"
"Catalog Rewrites were refreshed successfully","የካታሎግ ዳግም ጽሁፎች በተሳካ ሁኔታ ታድሰዋል"
"CatalogInventory Stock Status rebuild error. Please try again later","የካታሎግ የዕቃ ዝርዝር ማከማቻ ሁኔታ ዳግም የመገንባት ስህተት። እባክዎ ቆይተው እንደገና ይሞከሩ"
"CatalogInventory Stock Status was rebuilt successfully","የካታሎግ የዕቃ ዝርዝር ማከማቻ ሁኔታ በተሳካ ሁኔታ ዳግም ተገንብቷል"
"Category","ምድብ"
"Category:","ምድብ፦"
"Changelog","የለወጥ ምዝግብ ማስታወሻ"
"Channel","ሰርጥ"
"Channel:","ሰርጥ፦"
"Checkbox","አመልካች ሳጥን"
"Choose Store View","የሱቅ እይታ ምረጥ"
"Choose an attribute","አይነታ ምረጥ"
"Clear","አጽዳ"
"Close","ዝጋ"
"Comment text field can not be empty.","የአስተያየት የጽሁፍ መስክ ባዶ መሆን አይችልም።"
"Comments History","የአስተያየቶች ታሪክ"
"Complete","አጠናቅ"
"Configuration","ውቅር"
"Configuration successfully saved","ውቅረት በተሳክ ሁኔታ ተቀምጧል"
"Confirmed email:","የተረጋገጠ ኢሜይል፦"
"Conflicts","ግጭቶች"
"Connect with the Magento Community","ከMagento ማህበረሰብ ጋር ይገናኙ"
"Contents","ይዘቶች"
"Convert to Plain Text","ወደ ስነጣ አልባ ጽሁፍ ቀይር"
"Cookie (Unsafe)","ኩኪ (ደህንነቱ ያልተጠበቀ)"
"Country","አገር"
"Country:","አገር፦"
"Coupon Code","የኩፖን ኮድ"
"Coupons","ኩፖኖች"
"Create","ፍጠር"
"Create DB Backup","የውሂብ ጎታ ምትኬ ፍጠር"
"Create Extension Package","የቅጥያ ጥቅል ፍጠር"
"Create New Attribute","አዲስ አይነታ ፍጠር"
"Create New Staging Store View","አዲስ የሱቅ እይታ አደረጃጀት ፍጠር"
"Create Urlrewrite:","የዩአርኤል ዳግም ጽሁፍ ፍጠር፦"
"Create a backup","ምትኬ ፍጠር"
"Created <strong>%s</strong> items","<strong>%s</strong> ንጥሎች ተፈጥረዋል"
"Created At","የተፈጠረው"
"Credit Card Number","የክሬዲት ካርድ ቁጥር"
"Credit Card Number: xxxx-%s","የክሬዲት ካርድ ቁጥር፦ xxxx-%s"
"Credit Card Type","የክሬዲት ካርድ አይነት"
"Credit Card Type: %s","የክሬዲት ካርድ አይነት፦ %s"
"Credit Memo #%s comment added","የክሬዲት ማስታወሻ #%s አስተያየት ታክሏል"
"Credit Memo #%s created","የክሬዲት ማስታወሻ #%s ተፈጥሯል"
"Credit Memo History","የክሬዲት ማስታወሻ ታሪክ"
"Credit Memo Totals","የክሬዲት ማስታወሻ ድምሮች"
"Credit Memo cancel error.","የክሬዲት ማስታወሻ መሰረዝ ስህተት።"
"Credit Memo total must be positive.","የክሬዲት ማስታወሻ ድምር አዎንታዊ መሆን አለበት።"
"Credit Memo void error","የክሬዲት ማስታወሻ እንዳይጸና የማድረግ ስህተት"
"Credit Memo was successfully canceled.","የክሬዲት ማስታወሻ በተሳካ ሁኔታ ተሰርዟል።"
"Credit Memo was successfully created","የክሬዲት ማስታወሻ በተሳካ ሁኔታ ተፈጥሯል"
"Credit Memo was successfully voided","የክሬዲት ማስታወሻ በተሳካ ሁኔታ እንዳይጸና ተደርጓል"
"Currency","ምንዛሪ"
"Currency Information","የምንዛሪ መረጃ"
"Currency Setup Section","የምንዛሪ የማቀናበር ክፍል"
"Current Configuration Scope:","የአሁኑ ውቅር ስፋት፦"
"Current Release Information","የአሁኑ የተለቀቀ መረጃ"
"Custom","ብጁ"
"Customer","ደንበኛ"
"Customer Group:","የደንበኛ ቡድን፦"
"Customer Name","የደንበኛ ስም"
"Customer Since:","ደንበኛ ከዚህ ጀምሮ፦"
"Customer was deleted","ደንበኛው ተሰርዟል"
"Customer was successfully saved","ደንበኛው በተሳካ ሁኔታ ተቀምጧል"
"Customer with the same email already exists.","ተመሳሳይ ኢሜይል አድራሻ ያለው ደንበኛ አስቀድሞ አለ።"
"Customers","ደንበኞች"
"DHTML Date/Time Selector","DHTML ቀን/ሰዓት መምረጫ"
"Dashboard","ዳሽቦርድ"
"Data Format","የውሂብ ቅርጸት"
"Data transfer:","ውሂብ ማስተላለፍ፦"
"Date","ቀን"
"Date & Time","ቀን እና ሰዓት"
"Date Added","ቀን ታክሏል"
"Date Updated","ቀን ዘምኗል"
"Date selection:","የቀን ምርጫ፦"
"Date selector","ቀን መምረጫ"
"Date:","ቀን፦"
"Day","ቀን"
"Decimal separator:","የአስርዮሽ መለያያ፦"
"Default (Admin) Values","ነባሪ (አስተዳዳሪ) እሴቶች"
"Default Config","ነባሪ ውቅር"
"Default Template from Locale","ነባሪ አብነት ከአካባቢው"
"Default Values","ነባሪ እሴቶች"
"Default display currency ""%s"" is not available in allowed currencies","ነባሪ የማሳያ ምንዛሪ «%s» በተፈቀዱ ምንዛሪዎች ውስጥ አይገኝም"
"Default scope","ነባሪ ስፋት"
"Delete","ሰርዝ"
"Delete %s","%s ሰርዝ"
"Delete %s '%s'","%s «%s» ሰርዝ"
"Delete Profile","መገለጫ ሰርዝ"
"Delete Role","ሚና ሰርዝ"
"Delete Store View","የሱቅ እይታ ሰርዝ"
"Delete Template","አብነት ሰርዝ"
"Delete User","ተጠቃሚ ሰርዝ"
"Delete Website","ድረ-ገጽ ሰርዝ"
"Dependencies","ጥገኝነቶች"
"Description","መግለጫ"
"Description:","መግለጫ፦"
"Design","ንድፍ"
"Design Section","የንድፍ ክፍል"
"Design change deleted","የንድፍ ለውጥ ተሰርዟል"
"Design change saved","የንድፍ ለውጥ ተቀምጧል"
"Developer Section","የገንቢ ክፍል"
"Direction:","አቅጣጫ፦"
"Disable","አሰናክል"
"Disabled","ተሰናክሏል"
"Discount Amount","የቅናሽ መጠን"
"Display %s first","በመጀመሪያ %s አሳይ"
"Display default currency","ነባሪ ምንዛሪ አሳይ"
"Distributed under GNU LGPL. See %s for details.","በGNU LGPL ስር የተሰራጨ።  ለዝርዝር መረጃ %s ይመልከቱ።"
"Do you really want to KILL parallel process and start new indexing process?","በርግጥ ትይዩ ሂደቶችን መግደል እና አዲስ የመረጃ መጠቆም ሂደት መጀመር ይፈልጋሉ።"
"Done By:","የተከናወነው፦"
"Done by:","የተከናወነው፦"
"Download Remote File","የሩቅ ፋይል አውርድ"
"Download and Install","አውርድ እና ጫን"
"Downloading and installing $pkg, please wait...","$pkg በማውረድ እና በመጫን ላይ፣ እባክዎ ይጠብቁ..."
"Drag to move","ለማንቀሳቀስ ይጎትቱ"
"Drop-down","ተቆልቋይ"
"Edit","አርትእ"
"Edit Email Template","የኢሜይል አብነት አርትእ"
"Edit Poll","ድምጽ አርትእ"
"Edit Role","ሚና አርትእ"
"Edit Store View","የሱቅ እይታ አርትእ"
"Edit System Template","የስርዓት አብነት አርትእ"
"Edit Tag","የተሰጠ መለያ አርትእ"
"Edit Template","አብነት አርትእ"
"Edit Urlrewrite","የዩአርኤል ዳግም ጽሁፍ አርትእ"
"Edit User","ተጠቃሚ አርትእ"
"Edit User '%s'","ተጠቃሚ አርትእ «%s»"
"Edit Website","የድር ጣቢያ አርትእ"
"Email","ኢሜይል"
"Email Address:","ኢሜይል አድራሻ፦"
"Email Preview","የኢሜይል ቅድመ እይታ"
"Email address is empty.","ኢሜይል አድራሻ ባዶ ነው።"
"Email to a Friend","ለጓደኛ ኢሜይል ይላኩ"
"Email:","ኢሜይል፦"
"Enable","አንቃ"
"Enabled","ነቅቷል"
"Enclose Values In:","እሴቶችን አያይዘህ በዚህ ላክ፦"
"Entity Type","የአካል አይነት"
"Entity type:","የአካል አይነት፦"
"Error uploading the file","ፋይሉን በመስቀል ላይ ስህተት"
"Error while cleared Image cache. Please try again later","የምስል ሽጉጥ በማጽዳት ላይ ስህተት። እባክዎ ቆይተው እንደገና ይሞክሩ።"
"Error while create backup. Please try again later","ምትኬ መፍጠር ላይ ስህተት። እባክዎ ቆይተው እንደገና ይሞክሩ።"
"Error while deleting this role. Please try again later.","ይህን ሚና በመሰረዝ ላይ ስህተት። እባክዎ ቆይተው እንደገና ይሞክሩ።"
"Error while deleting this set.","ይህን ስብስብ በመሰረዝ ላይ ስህተት።"
"Error while finished process. Please refresh cache","ሂደት ሲጨርስ ስህተት። እባክዎ መሸጎጫን ያድሱት"
"Error while refreshed Catalog Rewrites. Please try again later","የካታሎግ ዳግም ጽሁፍ ሲታደስ ስህተት። እባክዎ ቆይተው እንደገና ይሞክሩ"
"Error while refreshed Layered Navigation Indices. Please try again later","ተደራራቢ የአሰሳ መረጃ ጠቋሚዎችን በማደስ ላይ ስህተት። እባክዎ ቆይተው እንደገና ይሞክሩ"
"Error while saving account. Please check all required fields","መለያ በማስቀመጥ ላይ ስህተት። እባክዎ ሁሉንም የሚያስፈልጉ መስኮች ያረጋግጡ"
"Error while saving account. Please try again later","መለያ በማስቀመጥ ላይ ስህተት። እባክዎ ቆይተው እንደገና ይሞክሩ"
"Error while saving this configuration: ","ይህን ውቅረት በማስቀመጥ ላይ ስህተት፦"
"Error while saving this role. Please try again later.","ይህን ሚና በማስቀመጥ ላይ ስህተት። እባክዎ ቆይተው እንደገና ይሞክሩ።"
"Error while updating selected review(s). Please try again later.","የተመረጠ(ጡ) ግምገማ(ዎች)ን በማዘመን ላይ ስህተት። እባክዎ ቆይተው እንደገና ይሞክሩ።"
"Excl. Tax","ቀረጥ አታካት"
"Exclude","አታካት"
"Exclude (comma separated)","አታካት (በኮማ የተለየ)"
"Expiration Date","ጊዜው የሚያበቃበት ቀን"
"Expiration Date: %s/%s","ጊዜው የሚያበቃበት ቀን፦ %s/%s"
"Export","ወደ ውጪ ላክ"
"Export CSV","CSV ወደ ውጪ ላክ"
"Export Filters","ወደ ውጪ መላኪያ ማጣሪያዎች"
"Export to:","የሚላከው ወደ፦"
"Export:","ወደ ውጪ ላክ፦"
"Extension","ቅጥያ"
"Extension Name","የቅጥያ ስም"
"Extensions","ቅጥያዎች"
"FTP Host[:Port]","FTP አስተናጋጅ[:Port]"
"Failed to add a product to cart by id ""%s""","ምርት ወደ ጋሪ በመታወቂያ «%s» ለማከል አልተሳካም"
