"%s was successfully added to your shopping cart.","%s ወደ ግዢ ጋሪ በተሳካ ሁኔታ ታክሏል።"
"&laquo; Back to Billing Information","&laquo; ወደ ክፍያ መረጃ ተመለስ"
"&laquo; Back to Select Addresses","&laquo; ወደ ተመረጡ አድራሻዎች ተመለስ"
"&laquo; Back to Shopping Cart","&laquo; ወደ ግዢ ጋሪ ተመለስ"
"* Required Fields","* አስፈላጊ መስኮች"
"Add New Address","አዲስ አድራሻ አክል"
"Add New Condition","አዲስ ሁኔታ አክል"
"Add to Cart","ወደ ጋሪ አክል"
"Add to Compare","ወደ ማነጻጸሪያ አክል"
"Add to Wishlist","ወደ የምኞት ዝርዝር አክል"
"Address","አድራሻ"
"Address %s of %s","አድራሻ %s ከ %s"
"After adding a product redirect to shopping cart","የምርት ማዛወሪያ ወደ ማጓጓዣ ጋሪ ካከሉ በኋላ"
"Allow Guest Checkout","የእንግዳ መክፈያ ቦታ ፍቀድ"
"Already registered?","አስቀድመው ተመዝግበዋል?"
"An error occurred in the process of payment","ክፍያው እየተካሄደ ሳለ ስህተት ተከስቷል"
"Apply Coupon","የኩፖን ተግብር"
"Are you sure you would like to remove this item from the shopping cart?","እርግጠኛ ነዎት ይህን ንጥል ከግዢ ጋሪዎ ማስወገድ ፈልገዋል?"
"Back","ተመለስ"
"Back to Shipping Information","ወደ ማጓጓዣ መረጃ ተመለስ"
"Based on your selection, you may be interested in the following items:","በምርጫዎ መሰረት፣ የሚከተሉትን ንጥሎች ሊፈልጓቸው ይችላሉ፦"
"Billing Address","የመክፈያ አድራሻ"
"Billing Information","የክፍያ አድራሻ"
"Billing Information - %s","የክፍያ አድራሻ - %s"
"Can not add item to shopping cart","ንጥል ወደ የግዢ ጋሪ ማከል አልተቻለም"
"Can not apply coupon code.","የኩፖን ኮድ መተግብር አልተቻለም።"
"Can't open overview page","የማጠቃለያ ገጹን መክፈት አልተቻለም"
"Cancel Coupon","ኩፖን ሰርዝ"
"Cannot remove item","ንጥል ማስወገድ አልተቻለም"
"Cannot update shopping cart","የግዢ ጋሪ ማዘመን አልተቻለም"
"Card Verification Number Visual Reference","የካርድ ማረጋገጫ ቁጥር የሚታይ ማጣቀሻ"
"Cart Subtotal:","የጋሪ ንዑስ ድምር፦"
"Change","ለውጥ"
"Change Billing Address","የክፍያ አድራሻ"
"Checkbox text","የአመልካች ሳጥን ጽሁፍ"
"Checkout","ከፍለው ይውጡ"
"Checkout Conditions","ከፍሎ የመውጫ ሁኔታዎች"
"Checkout Options","ከፍሎ የመውጫ አማራጮች"
"Checkout Section","ከፍሎ የመውጫ ክፍል"
"Checkout Terms and Conditions","ከፍሎ የመውጫ ውሎች እና ደንቦች"
"Checkout as Guest","እንደ እንግዳ ከፍለህ ይውጡ"
"Checkout as a Guest or Register","እንደ እንግዳ ከፍለህ ይውጡ ወይም ይመዝገቡ"
"Checkout method","ከፍሎ የመውጫ ዘዴ"
"Checkout with Multiple Addresses","በብዙ አድራሻዎች ከፍሎ መውጣት"
"City","ከተማ"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","የትእዛዝዎን ማረጋገጫ ቅጂ <a href="%s" onclick="this.target='_blank'">ለማተም እዚህ</a> ጠቅ ያድርጉ።"
"Close","ዝጋ"
"Company","ኩባንያ"
"Condition Name","የሁኔታ ስም"
"Condition was successfully deleted","ሁኔታው በተሳካ ሁኔታ ተሰርዟል"
"Condition was successfully saved","ሁኔታው በተሳካ ሁኔታ ተቀምጧል"
"Configurable product image","ሊዋቀር የሚችል የምርት ምስል"
"Confirm Password","የይለፍ ቃል ያረጋግጡ"
"Content","ይዘት"
"Content Height","የይዘት ቁመት"
"Content Height (css)","የይዘት ቁመት (css)"
"Continue","ቀጥል"
"Continue Shopping","ጊዢ ቀጥል"
"Continue to Billing Information","ወደ ክፍያ መረጃ ቀጥል"
"Continue to Review Your Order","ትእዛዝዎን መገምገም ይቀጥሉ"
"Continue to Shipping Information","ወደ ማጓጓዣ መረጃ ቀጥል"
"Country","አገር"
"Coupon code ""%s"" is not valid.","የኩፖን ኮድ «%s» ልክ አይደለም።"
"Coupon code ""%s"" was applied successfully.","የኩፖን ኮድ «%s» በተሳካ ሁኔታ ተተግብሯል።"
"Coupon code was canceled successfully.","የኩፖን ኮድ በተሳካ ሁኔታ ተሰርዟል።"
"Create Billing Address","የመክፈያ አድራሻ ፍጠር"
"Create Shipping Address","የማጓጓዣ አድራሻ ፍጠር"
"Customer Address is not valid.","የደንበኛ አድራሻ ልክ አይደለም።"
"Data saving problem","ውሂብ የማስቀመጥ ችግር"
"Default Billing","ነባሪ ክፍያ"
"Default Shipping","ነባሪ ማጓጓዣ"
"Delete Condition","ሁኔታ ሰርዝ"
"Details","ዝርዝሮች"
"Disable Onepage Checkout","የአንድ ገጽ ከፍሎ መውጫን አሰናክል"
"Disabled","ተሰናክሏል"
"Discount Codes","የቅናሽ ኮዶች"
"Display Cart Summary","የጋሪ ማጠቃለያ አሳይ"
"Display Shopping Cart Sidebar","የግዢ ጋሪ የጎን አሞሌ አሳይ"
"Display item quantities","የንጥል ብዛት አሳይ"
"Display number of items in cart","በጋሪ ውስጥ ያሉ ንጥሎችን ብዛት አሳይ"
"Easy access to your order history and status","ቀላል መዳረስ ወደ ትእዛዝዎ ታሪክ እና ሁኔታ "
"Edit","አርትእ"
"Edit Address","አድራሻ አርትእ"
"Edit Billing Address","የክፍያ አድራሻ አርትእ"
"Edit Items","ንጥሎች አርትእ"
"Edit Shipping Address","የማጓጓዣ አድራሻ አርትእ"
"Edit Terms and Conditions","ውሎችን እና ደንቦችን አርትእ"
"Edit Your Cart","ጋሪዎን ያርትኡ"
"Email Address","ኢሜይል አድራሻ"
"Enable Terms and Conditions","ውሎችን እና ደንቦችን አንቃ"
"Enabled","ነቅቷል"
"Enter a New Address","አዲስ አድራሻ አስገባ"
"Enter your coupon code if you have one.","የኩፖን ኮድ አንድ ካለዎት ያስገቡ።"
"Enter your destination to get a shipping estimate.","የማጓጓዣ ግምቱን ለማግኘት መዳረሻዎን ያስገቡ።"
"Error while deleting this condition. Please try again later.","ይህን ሁኔታ በመሰረዝ ላይ ስህተት። እባክዎ ቆይተው እንደገና ይሞክሩ።"
"Error while saving this condition. Please try again later.","ይህን ሁኔታ በማስቀመጥ ላይ ስህተት። እባክዎ ቆይተው እንደገና ይሞክሩ።"
"Estimate Shipping and Tax","ማጓጓዣ እና ቀረጥ ገምት"
"Excl. Tax","ቀረጥ አታካት"
"Fast and easy check out","ፈጣን እና ቀላል ከፍሎ መውጫ"
"Fax","ፋክስ"
"Forgot an Item?","ንጥሉን ረሱት?"
"Forgot your password?","የይለፍ ቃልዎን ረሱት?"
"Get a Quote","ጥቅስ ያግኙ"
"Grand Total:","ጠቅላላ ድምር፦"
"Grouped product image","የተቧደነ የምርት ምስል "
"HTML","HTML"
"ID","መታወቂያ"
"Incl. Tax","ቀረጥ ያካትታል"
"Invalid data","ልክ ያልሆነ ውሂብ"
"Invalid email address ""%s""","ልክ ያልሆነ ኢሜይል አድራሻ «%s»"
"Invalid shipping method.","ልክ ያልሆነ የማጓጓዣ ዘዴ።"
"Items","ንጥሎች"
"Load customer quote error","የደንበኛ ጥቅስ መጫን ስህተት"
"Loading next step...","ቀጣዩን ደረጃ በመጫን ላይ..."
"Login","ይግቡ"
"Manage Checkout Terms and Conditions","ከፍሎ የመውጫ ውሎች እና ደንቦች አቀናብር"
"Maximum display Recently added item(s)","ከፍተኛ የሚታዩ በቅርብ ጊዜ የታከለ(ሉ) ንጥል(ሎች)"
"Maximum qty allowed for Shipping to multiple addresses is %s","ወደ ብዙ አድራሻዎች ለማጓጓዝ የሚፈቀደው ከፍተኛው ብዛት %s ነው"
"Move to Wishlist","ወደ የምኞት ዝርዝር አንቀሳቅስ"
"My Account","የኔ መለያ"
"My Cart","የእኔ ጋሪ"
"My Cart (%s item)","የእኔ ጋሪ (%s ንጥል)"
"My Cart (%s items)","የእኔ ጋሪ (%s ንጥሎች)"
"My Cart Link","የእኔ ጋሪ አገናኛ"
"New Address","አዲስ አድራሻ "
"New Condition","አዲስ ሁኔታ "
"Order #","ትእዛዝ #"
"Order Review","የትእዛዝ ግምገማ"
"Order Success","ትእዛዝ ተሳክቷል"
"Other items in your order","በትእዛዝዎ ውስጥ ሌሎች ንጥሎች"
"Password","የይለፍ ቃል"
"Payment Failed Email Reciever","የክፍያ ኢሜይል ተቀባይ አልተሳካም"
"Payment Failed Email Sender","የክፍያ ኢሜይል ላኪ አልተሳካም"
"Payment Failed Emails","የክፍያ ኢሜይሎች አልተሳካም"
"Payment Failed Template","የክፍያ አብነት አልተሳካም"
"Payment Information","የክፍያ መረጃ"
"Payment Method","የክፍያ ዘዴ"
"Payment method is not defined","የክፍያ ዘዴ አልተገለጸም"
"Place Order","ትእዛዝ ይዘዙ"
"Please <a href=""%s"">continue shopping</a>.","እባክዎ <a href="%s">ግዢውን ይቀጥሉ</a>።"
"Please agree to all Terms and Conditions before placing the order.","እባክዎ ትእዛዞችን ከማዘዝዎ በፊት ከውሎቹ እና ደንቦቹ ጋር ይስማሙ።"
"Please agree to all Terms and Conditions before placing the orders.","እባክዎ ትእዛዞችን ከማዘዝዎ በፊት ከውሎቹ እና ደንቦቹ ጋር ይስማሙ።"
"Please enter a valid zip code. For example 90602 or 90602-1234.","እባክዎ ልክ የሆነ የዚፕኮድ ያስገቡ። ለምሳሌ 90602 ወይም 90602-1234።"
"Please log in below:","እባክዎ ከታች ይግቡ፦"
"Please select region, state or province","እባክዎ ክልል ወይም ዞን ይምረጡ"
"Please select shipping address for applicable items","እባክዎ ለሁሉም ተግባራዊ ንጥሎች የማጓጓዣ አድራሻ ይምረጡ"
"Please select shipping methods for all addresses","እባክዎ ለሁሉም አድራሻዎች የማጓጓዣ ዘዴዎች ይምረጡ"
"Price","ዋጋ"
"Proceed to Checkout","ወደ መክፈያ ቦታ ቀጥል"
"Product","ምርት"
"Product Name","የምርት ስም"
"Product does not exist","ምርቱ የለም"
"Qty","ብዛት"
"Quote Lifetime (days)","የጥቅስ የቆይታ እድሜ (ቀናት)"
"Recently added item(s)","በቅርብ ጊዜ የታከለ(ሉ) ንጥል(ሎች)"
"Register","ይመዝገቡ"
"Register and save time!","ይመዝገቡ እና ጊዜ ይቆጥቡ!"
"Register to Create an Account","መለያ ለመፍጠር ይመዝገቡ"
"Register with us for future convenience:","ለወደፊት ምቾትዎ እኛ ጋር ይመዝገቡ፦"
"Remove","አስወግድ"
"Remove Item","ንጥል አስወግድ"
"Remove Product","ምርት አስወግድ"
"Remove item","ንጥል አስወግድ"
"Review Order","ትእዛዝ ገምግም"
"Review Order - %s","ትእዛዝ ገምግም - %s"
"Sales","ሽያጮች"
"Save Condition","ሁኔታ አስቀምጥ"
"Save in address book","በአድራሻ ደብተር ውስጥ አስቀምጥ"
"Select Address","አድራሻ ይምረጡ"
"Select Addresses","አድራሻዎች ይምረጡ"
"Select Shipping Method","የማጓጓዣ ዘዴ ይምረጡ"
"Select State/Province...","ክልል/ዞን... ይምረጡ"
"Select a billing address from your address book or enter a new address.","የመክፈያ አድራሻ ከአድራሻ ደብተርዎ ውስጥ ይምረጡ ወይም አዲስ አድራሻ ያስገቡ።"
"Select a shipping address from your address book or enter a new address.","የማጓጓዣ አድራሻ ከአድራሻ ደብተርዎ ውስጥ ይምረጡ ወይም አዲስ አድራሻ ያስገቡ።"
"Send Payment Failed Email Copy Method","የክፍያ ኢሜይል ቅጂ ዘዴ አለመሳካት ላክ"
"Send Payment Failed Email Copy To","የክፍያ ኢሜይል ቅጂ አለመሳካት ወደዚህ ላክ "
"Send to","ወደዚህ ላክ"
"Ship to Multiple Addresses","ወደ ብዙ አድራሻዎች አጓጉዝ"
"Ship to different address","ወደ ተለያየ አድራሻ አጓጉዝ"
"Ship to this address","ወደዚህ አድራሻ አጓጉዝ"
"Shipping Address","የማጓጓዣ አድራሻ"
"Shipping Information","የማጓጓዣ መረጃ"
"Shipping Method","የማጓጓዣ ዘዴ "
"Shipping Methods","የማጓጓዣ ዘዴዎች"
"Shipping method has not been selected yet","የማጓጓዣ ዘዴ እስካሁን አልተመረጠም"
"Shipping selection is not applicable","የማጓጓዣ ምርጫ ተግባራዊ አይደለም"
"Shipping to","ወደዚህ አጓጓዝ"
"Shopping Cart","የግዢ ጋሪ"
"Shopping Cart Sidebar","የግዢ ጋሪ የጎን አሞሌ"
"Shopping Cart is Empty","የግዢ ጋሪ ባዶ ነው"
"Show Content as","ይዘት እንደዚህ አሳይ"
"Some of the products you requested are not available in the desired quantity","አንዳንድ የጠየቋቸው ምርቶች በፈለጉት ብዛት አይገኙም"
"Some of the products you requested are unavailable","አንዳንድ የጠየቋቸው ምርቶች አይገኙም"
"Sorry, Onepage Checkout is disabled.","ይቅርታ፣ የአንድ ገጽ ከፍሎ የመውጫ ተሰናክሏል።"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","ይቅርታ፣ የእንግዳ መክፈያ ቦታ አልነቃም። እባክዎ እንደገና ይሞክሩ ወይም የሱቁን ባለቤት ያግኙት።"
"Sorry, no quotes are available for this order at this time.","ይቅርታ፣ በዚህ ጊዜ ለዚህ ትእዛዝ ምንም ጥቅሶች አይገኙም።"
"State/Province","ክልል/ዞን"
"Status","ሁኔታ"
"Store View","የሱቅ እይታ"
"Street Address","የመንገድ አድራሻ"
"Street Address ","የመንገድ አድራሻ"
"Submitting order information...","የትእዛዝ መረጃ በማስገባት ላይ..."
"Subtotal","ንዑስ ድምር"
"Telephone","ስልክ"
"Terms and Conditions","ውሎች እና ደንቦች"
"Terms and Conditions Information","የውሎች እና ደንቦች መረጃ"
"Terms and conditions","ውሎች እና ደንቦች"
"Text","ጽሁፍ"
"Thank you for your purchase!","ስለ ግዢዎ እናመሰግናለን!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","በጋሪዎ ውስጥ <a href="%s"><strong>%s ንጥሎች</strong></a> አሉ።"
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","በጋሪህ ውስጥ <a href="%s"><strong>1 ንጥል</strong></a> አለ።"
"There is already a customer registered using this email address","ይህን ኢሜይል አድራሻ በመጠቀም አስቀድሞ የተመዘገበ ደንበኛ አለ"
"There was an error processing your order. Please contact us or try again later.","ትእዛዝዎን በማካሄድ ላይ ስህተት ነበር። እባክዎ ያግኙን ወይም ቆይተው እንደገና ይሞክሩ።"
"This condition no longer exists","ይህ ሁኔታ ከእንግዲህ አይኖርም"
"Total","ጠቅላላ"
"Total for this address","የዚህ አድራሻ አጠቃላይ"
"Unit Price","የአንዱ ዋጋ"
"Update Qty &amp; Addresses","ብዛት እና አድራሻዎች አዘምን"
"Update Shopping Cart","የግዢ ጋሪ አዛምን"
"Update Total","አጠቃላይ አዘምን"
"Use Billing Address","የክፍያ አድራሻ ተጠቀም"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","ትእዛዝዎን በማካሄድ ላይ ነን እና የትእዛዝዎን ዝርዝሮች የያዘ ኢሜይል በቅርቡ ይደርስዎታል። አንዴ ትእዛዙ ከተጓጓዘ በኋላ ሂደቱን መከታተያ አገናኝ የያዘ ሌላ ኢሜይል ይደርስዎታል።"
"You have no items in your shopping cart.","በግዢ ጋሪዎ ውስጥ ምንም ንጥሎች የሉዎትም።"
"You will receive an order confirmation email with details of your order and a link to track its progress.","የትእዛዝ ማረጋገጫ ኢሜይል ከትእዛዝዎ ዝርዝሮች ጋር እና ሂደቱን መከታተያ አገናኝ ይደርስዎታል።  "
"Your Checkout Progress","ከፍሎ የመውጫ ሂደትዎ"
"Your order # is: %s","የትእዛዝዎ # ይህ ነው፦ %s"
"Your order # is: <a href=""%s"">%s</a>","የትእዛዝዎ # ይህ ነው፦ <a href="%s">%s</a>"
"Your order has been received","ትእዛዝዎ ደርሷል"
"Your order number is ","የትእዛዝ ቁጥርዎ ይህ ነው"
"Zip/Postal Code","ዚፕ/የፖስታ ኮድ"
"osCommerce Orders","የosCommerce ትእዛዞች አቀናብር"
"separate by "",""","በ«,» የተለያየ"
"My Cart","የእኔ ጋሪ"
"You have no items in your shopping cart.","በግዢ ጋሪዎ ውስጥ ምንም ንጥሎች የሉዎትም።"
"Checkout","መክፈያ ቦታ"
"Shopping Cart is Empty","የግዢ ጋሪ ባዶ ነው"
"Please <a href=""%s"">continue shopping</a>.","እባክዎ <a href="%s">ግዢውን ይቀጥሉ</a>።"
