"* Required Fields","* አስፈላጊ መስኮች"
"Please enter your email below and we'll send you a new password.","እባክዎ ከታች ኢሜይልዎን ያስገቡና አዲስ የይለፍ ቃል እንልክልዎታለን።"
"Please enter your email below and we'll send you confirmation link for it.","እባክዎ ከታች ኢሜይልዎን ያስገቡና የማረጋገጫ አገናኝ እንልክልዎታለን።"
"Please enter your email.","እባክዎ ኢሜይልዎን ያስገቡ።"
"Please make sure your passwords match.","እባክዎ የይለፍ ቃላትዎ ተዘማጅ መሆናቸውን እርግጠኛ ይሁኑ።"
"Please select","እባክዎ ይምረጡ"
"Please select region, state or province","እባክዎ ክልል ወይም ዞን ይምረጡ"
"Please, check your e-mail for confirmation key.","እባክዎ፣ ለማረጋገጫ ቁልፍ ኢሜይልዎን ይመልከቱ።"
"Prefix","ቅድመ ቅጥያ"
"Prefix dropdown options","የቅድመ ቅጥያ የተቆልቋይ አማራጮች "
"Price","ዋጋ"
"Primary Billing Address","የመጀመሪያ የክፍያ አድራሻ"
"Primary Shipping Address","የመጀመሪያ የማጓጓዣ አድራሻ"
"Problem saving the collection, aborting. Error: %s","ስብስቡን የማስቀመጥ ችግር፣ በማቋረጥ ላይ። ስህተት፦ %s"
"Product","ምርት"
"Product ID","የምርት መታወቂያ"
"Product Name","የምርት ስም"
"Product Reviews","የምርት ግምገማዎች"
"Product Tags","የምርት መለያዎች"
"Product name","የምርት ስም"
"Purchase On","በዚህ የተገዛ"
"Purchased at","የተገዛው በ"
"Qty","ብዛት"
"Recent Orders","የቅርብ ጊዜ ትእዛዞች"
"Records for ""","መዝገቦች ለ«"
"Refunded","ተመላሽ የተደረገ ገንዘብ"
"Registered Customers","የተመዘገቡ ደንበኞች"
"Remove","አስወግድ"
"Require Emails Confirmation","የኢሜይሎች ማረጋገጫ ያስፈልጋል"
"Retrieve address data","የአድራሻ ውሂብ ፈልገህ አውጣ"
"Retrieve address info","የአድራሻ መረጃ ፈልገህ አውጣ"
"Retrieve customer addresses","የደንበኛ አድራሻዎች ፈልገህ አውጣ"
"Retrieve customer data","የደንበኛ ውሂብ ፈልገህ አውጣ"
"Retrieve customer's groups","የደንበኛ ቡድኖች ፈልገህ አውጣ"
"Retrieve customers","ደንበኞች ፈልገህ አውጣ"
"Retrieve customers info","የደንበኞች መረጃ ፈልገህ አውጣ"
"Retrieve your confirmation link here","የማረጋጋጫዎን አገናኝ እዚህ ፈልገው ያውጡ"
"Retrieve your password here","የይለፍ ቃልዎን እዚህ ፈልገው ያውጡ"
"SKU","SKU"
"Sales Statistics","የሽያጮች ስታትስቲክስ"
"Save","አስቀምጥ"
"Save Address","አድራሻ አስቀምጥ"
"Save And Continue Edit","አስቀምጥ እና አርትኦት ቀጥል"
"Save Customer","ደንበኛ አስቀምጥ"
"Save Customer Group","የደንበኛ ቡድን አስቀምጥ"
"Save Password","የይለፍ ቃል አስቀምጥ"
"Saved ","ተቀምጧል"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","በሰሚኮለን (;) የተለያዩ እሴቶች።<br/>ለባዶ የመጀመሪያ አማራጭ መጀመሪያ ላይ ሰሚኮለን አድርግ<br/>ለክፍት የጽሁፍ መስክ ባዶ ተው።"
"Send Welcome Email after Confirmation","ከማረጋገጫ በኋላ የእንኳን ደህና መጡ ኢሜይል ላክ"
"Send auto-generated password","በራስ-ሰር-የመነጨ የይለፍ ቃል ላክ"
"Send confirmation link","የማረጋገጫ ኢሜይል አገናኝ ላክ"
"Send welcome email","የእንኳን ደህና መጡ ኢሜይል ላክ "
"Sending","በመላክ ላይ"
"Sent","ተልኳል"
"Session Start Time","ክፍለጊዜ የሚጀምርበት ሰዓት"
"Set as Default Billing Address","እንደ ነባሪ የመክፈያ አድራሻ አዘጋጅ"
"Set as Default Shipping Address","እንደ ነባሪ የማጓጓዣ አድራሻ አዘጋጅ"
"Share Customer Accounts","የድንበኛ መለያዎች አጋራ"
"Ship to First name","በመጀመሪያ ስም አጓጓዝ"
"Ship to Last name","በአያት ስም አጓጓዝ"
"Shipped to First Name","በመጀመሪያ ስም ተጓጉዟል"
"Shipped to Last Name","በአያት ስም ተጓጉዟል"
"Shipped to Name","በስም ተጓጉዟል"
"Shipping Information","የማጓጓዣ መረጃ"
"Shipping Method","የማጓጓዣ ዘዴ"
"Shopping Cart","የግዢ ጋሪ"
"Shopping Cart - %d item(s)","የግዢ ጋሪ - %d ንጥል(ሎች)"
"Show Tax/VAT number","የቀረጥ/ተ.እ.ታ ቁጥር አሳይ"
"Show date of birth","የትውልድ ቀን አሳይ"
"Show middle name (initial)","የአባት ስም (መነሻ ፊደል) አሳይ"
"Show prefix","ቅድመ ቅጥያ አሳይ"
"Show suffix","ድህረ ቅጥያ አሳይ"
"Sign Up for Newsletter","ለዜና መጽሄት ይመዝገቡ"
"Sign up for our newsletter","ለዜና መጽሄታችን ይመዝገቡ"
"Skip import row, required field ""%s"" not defined","ማስመጣትን ዝለል፣ አስፈላጊ መስክ «%s» አልተገለጸም"
"Skip import row, website ""%s"" field not exists","ማስመጣትን ዝለል፣ የድር ጣቢያ «%s» መስክ የለም"
"State/Province","ክልል/ዞን"
"Status","ሁኔታ"
"Store","ሱቅ"
"Store View","የሱቅ እይታ"
"Street Address","የመንገድ አድራሻ"
"Street Address ","የመንገድ አድራሻ"
"Subject","ርዕሰ ጉዳይ"
"Submit","አስገባ"
"Subscribe","ለደንበኝነት ተመዝገብ"
"Subscribe to newsletter","ለዜና መጽሄት ይመዝገቡ"
"Subscribed to Newsletter?","ለዜና መጽሄት ተመዝግበዋል?"
"Suffix","ድህረ ቅጥያ"
"Suffix dropdown options","የድህረ ቅጥያ የተቆልቋይ አማራጮች"
"TAX/VAT number is required.","የቀረጥ/ተ.እ.ታ ቁጥር ያስፈልጋል።"
"Tag Name","የመለያ ስም"
"Tax Class","የቀረጥ መደብ"
"Tax class","የቀረጥ መደብ"
"Tax/VAT number","የቀረጥ/ተ.እ.ታ ቁጥር"
"Telephone","ስልክ"
"Text","ጽሁፍ"
"Text One Line","አንድ መስመር ይጻፉ"
"Thank you for registering with %s","ለ%s ስለተመዘገቡ እናመሰግናለን"
"The address does not belong to this customer","አድራሻው የዚህ ደንበኛ አይደለም"
"The address was successfully deleted","አድራሻው በተሳካ ሁኔታ ተሰርዟል"
"The address was successfully saved","አድራሻው በተሳካ ሁኔታ ተቀምጧል"
"The suffix that goes after name (Jr., Sr., etc.)","ከስም በኋላ የሚገባ ድህረ ቅጥያ (Jr.፣ Sr.፣ ወዘተ)"
"The title that goes before name (Mr., Mrs., etc.)","ከስም በፊት የሚገባ ርዕስ  (አቶ፣ ወ/ሮ፣ ወዘተ)"
"There are no items in customer's wishlist at the moment","ለጊዜው በደንበኛው የምኞት ዝርዝር ውስጥ ምንም ንጥሎች የሉም "
"There are no items in customer's shopping cart at the moment","ለጊዜው በደንበኛው የግዢ ጋሪ ውስጥ ምንም ንጥሎች የሉም"
"There was an error while deleting the address","አድራሻ በመሰረዝ ላይ ስህተት ነበር"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","በነባሪው የእንኳን ደህና መጡ ኢሜይል ምትክ ይህ ኢሜይል ይላካል፣ ከመለያ ማረጋገጫ በኋላ። "
"This account is not confirmed.","ይህ መለያ አልተረጋገጠም።"
"This customer has no saved addresses.","ደንበኛው አድራሻዎችን አላስቀመጠም።"
"This e-mail does not require confirmation.","ይህ ኢሜይል ማረጋገጫ አያስፈልገውም።"
"This email address was not found in our records","ይህ ኢሜይል አድራሻ በመዝገባችን ውስጥ አልተገኘም"
"This is My Primary %s Address","ይህ ዋናው %s አድራሻዬ ነው"
"To Cart","ወደ ጋሪ"
"Total","ጠቅላላ"
"Type","አይነት"
"Unknown","የማይታወቅ"
"Unsubscribe from newsletter","ከዜና መጽሄት ምዝገባ ውጣ"
"Update","አዘምን"
"Update customer address data","የደንበኛ አድራሻ ውሂብ አዘምን"
"Update customer data","የደንበኛ ውሂብ አዘምን"
"Use as My Primary %s Address","እንደ ዋና %s አድራሻዬ ተጠቀም"
"Use as my default billing address","እንደ ነባሪ የመክፈያ አድራሻዬ ተጠቀም"
"Use as my default shipping address","እንደ ነባሪ የማጓጓዣ አድራሻዬ ተጠቀም"
"User description","የተጠቃሚ መግለጫ"
"View","አሳይ"
"View Order","የትእዛዝ እይታ "
"View Order List","የትእዛዝ ዝርዝር አሳይ"
"Visible In","የሚታየው"
"Visitor","ጎብኚ"
"Visitors Only","ጎብኚዎች ብቻ"
"Website","ድር ጣቢያ"
"Welcome Email","የእንኳን ደህና መጡ ኢሜይል"
"Wishlist","የምኞት ዝርዝር"
"Wishlist - %d item(s)","የምኞት ዝርዝር - %d ንጥል(ሎች)"
"Wrong confirmation key.","የተሳሳተ የማረጋገጫ ቁልፍ።"
"Wrong customer account specified.","የተሳሳተ የደንበኛ መለያ ተጠቅሷል።"
"Wrong email.","የተሳሳተ ኢሜይል።"
"Wrong region id by selected country","በተመረጠው አገር የተሳሳተ የክልል መታወቂያ "
"Wrong transactional account email type.","የተሳሳተ የዝውውር መለያ ኢሜይል አይነት።"
"XML","XML"
"YYYY","ዓዓዓዓ "
"Year","ዓመት"
"You are currently not subscribed to any newsletter.","በአሁን ጊዜ ለምንም አይነት የዜና መጽሄት በደንበኝነት አልተመዘገቡም።"
"You are currently not subscribed to our newsletter","በአሁን ጊዜ ለዜና መጽሄታችን በደንበኝነት አልተመዘገቡም።"
"You are currently subscribed to 'General Subscription'.","በአሁን ጊዜ «ለአጠቃላይ ምዝገባ» ተመዝግበዋል።"
"You are currently subscribed to our newsletter","በአሁን ጊዜ ለዜና መጽሄታችን በደንበኝነት ተመዝግበዋል"
"You are currently subscribed to our newsletter.","በአሁን ጊዜ ለዜና መጽሄታችን በደንበኝነት ተመዝግበዋል።"
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","በተሳካ ሁኔታ ዘግተው ወጥተዋል እና በ5 ሴኮንዶች ውስጥ ወደ መነሻ ገጻችን ይዛወራሉ።"
"You have no additional address entries in your address book.","በአድራሻ ደብተርዎት ውስጥ ተጨማሪ የአድራሻ ግቤቶች የሉዎትም።"
"You have no additional entries in your address book.","በአድራሻ ደብተርዎት ውስጥ ተጨማሪ ግቤቶች የሉዎትም።"
"You have no default billing address in your address book.","በአድራሻ ደብተርዎት ውስጥ ነባሪ የመክፈያ አድራሻ  የለዎትም።"
"You have no default shipping address in your address book.","በአድራሻ ደብተርዎት ውስጥ ነባሪ የማጓጓዣ አድራሻ  የለዎትም።"
"You have no primary entries in your address book.","በአድራሻ ደብተርዎት ውስጥ ዋና ግቤቶች የሉዎትም።"
"You have not set a primary billing address.","ዋና የመክፈያ አድራሻ አላስገቡም።"
"You have not set a primary shipping address.","ዋና የማጓጓዣ አድራሻ አላስገቡም።"
"You have placed no orders yet.","ገና ምንም ትእዛዞች አላዘዙም።"
"You have placed no products yet.","ገና ምንም ምርቶች አላዘዙም።"
"You're now Logged Out","አሁን ዘግተው ወጥተዋል"
"Your account balance is: %s","ያለዎትም ሒሳብ፦ %s"
"ZIP","ዚፕ"
"ZIP/Post Code","ዚፕ/የፖስታ ኮድ"
"ZIP/Postal Code","ዚፕ/የፖስታ ኮድ"
"Zip/Postal Code","ዚፕ/የፖስታ ኮድ"
"n/a","የለም"
"or","ወይም"
"Please enter your email below and we'll send you a new password.","እባክዎ ከታች ኢሜይልዎን ያስገቡና አዲስ የይለፍ ቃል እንልክልዎታለን።"
"First name can't be empty","የመጀመሪያ ስም ባዶ መሆን አይችልም"
"Last name can't be empty","የአያት ስም ባዶ መሆን አይችልም"
"Password can't be empty","የይለፍ ቃል ባዶ መሆን አይችልም"
"My Account","የእኔ መለያ"
"Log In","ይግቡ"
"New Customers","አዲስ ደንበኞች"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","በእኛ ሱቅ ውስጥ መለያ በመፍጠር፣ ከፍሎ በመውጫ ሂደቱ ውስጥ በፍጥነት መንቀሳቀስ፣ ብዙ የማጓጓዣ አድራሻዎችን ማስቀመጥ፣ በመለያ ውስጥ ትእዛዞችዎን ማየት እና መከታተል እና ተጨማሪ ማድረግ ይችላሉ።"
"Registered Customers","የተመዘገቡ ደንበኞች"
"If you have an account with us, please log in.","እኛ ጋር መለያ ካለዎት እባክዎ ይግቡ።"
"Email Address","ኢሜይል አድራሻ"
"Password","የይለፍ ቃል"
"* Required Fields","* አስፈላጊ መስኮች"
"Forgot Your Password?","የይለፍ ቃልዎን ረሱት?"
"Retrieve your password here","የይለፍ ቃልዎን እዚህ ፈልገው ያውጡ"
"Please enter your email below and we'll send you a new password.","እባክዎ ከታች ኢሜይልዎን ያስገቡና አዲስ የይለፍ ቃል እንልክልዎታለን።"
"Back to Login","ወደ መግቢያ ተመለስ"
"Submit","አስገባ"
"My Dashboard","የእኔ ዳሽቦርድ"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","ከእርስዎ «የእኔ መለያ ዳሽቦርድ»፣ የመለያዎን የቅርብ ጊዜ እንቅስቃሴ ቅንጭብ እይታ ማየት እና የመለያዎን መረጃ ማዘመን ይችላሉ። መረጃውን ለማየት ወይም ለማርተዕ ከታች አንዱን አገናኝ ይምረጡ።"
"Contact Information","የእውቂያ መረጃ"
"Address Book","የአድራሻ ደብተር"
"Account Information","የመለያ መረጃ"
"Thank you for registering with %s","ለ%s ስለተመዘገቡ እናመሰግናለን"
"Newsletter Subscription","የዜና መጽሄት ምዝገባ"
"You have not set a default billing address.","ነባሪ የመክፈያ አድራሻ አላስገቡም።"
"You have not set a default shipping address.","ነባሪ የማጓጓዣ አድራሻ አላስገቡም።"
"Login or Create an Account","ይግቡ ወይም መለያ ይፍጠሩ"
"Personal Information","የግል መረጃ"
"Sign Up for Newsletter","ለዜና መጽሄት ይመዝገቡ"
"You are currently not subscribed to any newsletter.","በአሁን ጊዜ ለምንም አይነት የዜና መጽሄት በደንበኝነት አልተመዘገቡም።"
"Default Shipping Address","ነባሪ የማጓጓዣ አድራሻ"
"Login","ይግቡ"
"Invalid login or password.","ልክ ያልሆነ መግቢያ ወይም የይለፍ ቃል።"
"Edit Account Information","የመለያ መረጃ አርትእ"
"Log Out","ዘግተህ ውጣ"
"First Name","የመጀመሪያ ስም"
"Last Name","የአያት ስም"
