"Example: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b> Where &lt;user_action&gt; is 'commit' or 'continue', depending on your preference of commit button text.","ለምሳሌ፦ <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;ተለዋጭ ስም</b> &lt;user_action&gt; «ፈጽም» ወይም «ቀጥል» ሲሆን፣ የፈጽም አዝራር ጽሁፍ ምርጫዎ መሰረት።"
"API Password","API የይለፍ ቃል"
"API Signature","API ፊርማ"
"API User Name","API የተጠቃሚ ስም"
"Amex","Amex "
"Authorization","ፍቃድ"
"Authorize and Capture","ፍቃድ ስጥ እና ያዝ"
"Billing Information","የክፍያ አድራሻ"
"Business Account","የንግድ መለያ"
"Business Name","የንግድ ስም"
"Card Verification Number","የካርድ ማረጋገጫ ቁጥር"
"Change Payment Method","የክፍያ ዘዴ ለውጥ"
"Change Shipping Address","የማጓጓዣ አድራሻ ለውጥ"
"Credit Card Number","የክሬዲት ካርድ ቁጥር"
"Credit Card Number: xxxx-%s","የክሬዲት ካርድ ቁጥር፦ xxxx-%s"
"Credit Card Type","የክሬዲት ካርድ አይነት"
"Credit Card Type: %s","የክሬዲት ካርድ አይነት፦ %s"
"Credit Card Types","የክሬዲት ካርድ አይነቶች"
"Customer returned from PayPal site.","ደንበኛ ከPayPal ጣቢያ ተመልሷል።"
"Debug Flag","የተጠቆመ አርም"
"Discover","አግኝ"
"Edit Shopping Cart","የግዢ ጋሪ አርትእ"
"Enabled","ነቅቷል"
"Error in creating an invoice","ደረሰኝ በመፍጠር ላይ ስህተት"
"Error in refunding the payment","ክፍያውን ተመላሽ በማድረግ ላይ ስህተት"
"Expiration Date","ጊዜው የሚያበቃበት ቀን"
"Expiration Date: %s/%s","ጊዜው የሚያበቃበት ቀን፦ %s/%s"
"Incl. Tax","ቀረጥ ያካትታል"
"Invalid transaction id","ልክ ያልሆነ የዝውውር መታወቂያ"
"Invoice #%s created","የደረሰኝ #%s ተፈጥሯል"
"Issue Number","የእትም ቁጥር"
"Items in Your Shopping Cart","በግዢ ጋሪዎ ውስጥ ያሉ ንጥሎች"
"MasterCard","MasterCard"
"Maximum image size is 750x90 px.","ከፍተኛው የምስል መጠን 750x90 ፒክስል ነው።"
"N/A","የለም"
"Name on Card","ካርድ ላይ ያለ ስም"
"Name on the Card: %s","ካርዱ ላይ ያለ ስም፦ %s"
"New order status","አዲስ የትእዛዝ ሁኔታ"
"No shipping method required.","ምንም የማጓጓዣ ዘዴ አያስፈልግም።"
"Order","ትእዛዝ"
"Order total amount does not match paypal gross total amount","የትእዛዝ ድምር መጠን የpaypal የጠቅላላ ድምር መጠን ጋር አይዛመድም"
"Page Style","የገጽ ቅጥ"
"PayPal Accounts","PayPal መለያዎች"
"PayPal Email","PayPal ኢሜይል"
"PayPal Express Checkout","PayPal Express Checkout"
"PayPal Uk Account","PayPal ዩኬ መለያ"
"PayPal Website Payments Pro - Direct Payments","PayPal የድር ጣቢያ ክፍያዎች ፕሮ - ቀጥተኛ ክፍያዎች"
"PayPal Website Payments Standard","PayPal የድር ጣቢያ ክፍያዎች ደረጃ"
"Payment Action","የክፍያ ተግባር"
"Payment Method","የክፍያ ዘዴ"
"Payment from Specific countries","ክፍያ ከተወሰኑ አገሮች"
"Payment from applicable countries","ክፍያ ተግባራዊ ከሆኑ አገሮች"
"Paypal Checkout","Paypal Checkout"
"Paypal IPN Invalid %s.","ልክ ያልሆነ Paypal IPN %s።"
"Paypal Logo Image URL","የPaypal አርማ ምስል ዩአርኤል"
"Paypal URL","Paypal ዩአርኤል"
"Place an Order","ትእዛዝ እዘዝ"
"Please select a shipping method...","እባክዎ የማጓጓዣ ዘዴ ይጥቀሱ..."
"Please select a valid shipping method","እባክዎ ልክ የሆነ የማጓጓዣ ዘዴ ይጥቀሱ..."
"Price","ዋጋ"
"Problem during communication with PayPal","ከPayPal ጋር በሚደረግ ግንኙነት ጊዜ ችግር ነበር"
"Product Name","የምርት ስም"
"Proxy Host","የተኪ አስተናጋጅ"
"Proxy Port","የተኪ ፖርት"
"Qty","ብዛት"
"Received IPN verification","IPN ማረጋገጫ ደርሶዎታል"
"Review Order","ትእዛዝ ገምግም"
"Sale","ሽጥ"
"Sandbox Flag","Sandbox ጥቆማ"
"Selected currency code (","የተመረጠው የምንዛሬ ኮድ ("
"Shipping Address","የማጓጓዣ አድራሻ"
"Shipping Information","የማጓጓዣ መረጃ"
"Shipping Method","የማጓጓዣ ዘዴ"
"Sorry, no quotes are available for this order at this time.","ይቅርታ፣ በዚህ ጊዜ ለዚህ ትእዛዝ ምንም ጥቅሶች አይገኙም።"
"Sort order","ትእዛዝ ደርድር"
"Start Date","የመጀመሪያ ቀን"
"Submitting order information...","የትእዛዝ መረጃ በማስገባት ላይ..."
"Subtotal","ንዑስ ድምር"
"Switch/Solo Only","Switch/Solo ብቻ"
"Switch/Solo card issue number: %s","Switch/Solo ካርድ የተሰጠበት ቁጥር፦ %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo ካርድ የጀመረበት ቀን፦ %s/%s"
"There has been an error processing your payment. Please try later or contact us for help.","ክፍያዎን በማካሄድ ላይ ስህተት ነበር። እባከዎ ቆይተው ይሞክሩ ወይም ለእገዛ ያግኙን። "
"There was an error connecting to the Paypal server: %s","ከPaypal አገናኝ ጋር በመገናኘት ጊዜ ስህተት ነበር፦ %s"
"There was an error during communication with Paypal: %s - %s","ከPaypal ጋር ግንኙነት በማድረግ ጊዜ ስህተት ነበር፦ %s - %s"
"Title","ርዕስ"
"Transaction Type","የገንዘብ ዝውውር አይነት "
"Type","አይነት"
"Unknown PayPal API error: %s","ይልታወቀ PayPal API ስህተት፦ %s"
"Update Shipping Method","የማጓጓዣ ዘዴ አዘምን"
"Use Proxy","ተኪ ተጠቀም"
"Visa","ቪዛ"
"Website Payments Pro and Express Checkout (API Signature)","የድር ጣቢያ ክፍያዎች ፕሮ እና ኤክስፕረስ ከፍሎ መውጫ (API ፊርማ)"
"Website Payments Standard","የድር ጣቢያ ክፍያዎች ደረጃ"
"What is this?","ይህ ምንድነው?"
"You will be redirected to Paypal in a few seconds.","በጥቂት ሰኮንዶች ውስጥ ወደ Paypal ይዛወራሉ።"
"Your billing address will be ignored and you will be redirected to PayPal UK website","የመክፈያ አድራሻዎ ይተውና ወደ PayPal ዩኬ የድር ጣቢያ ይዛወራሉ"
