" was not delivered nor scanned"," አልደረሰምም አልተቃኘምም"
"1 Day Freight","የ1 ቀን ጉዞ ጭነት "
"2 Day Freight","የ2 ቀን ጉዞ ጭነት"
"2Day","2ቀን"
"2nd Day Air","2ኛ ቀን አየር "
"2nd Day Air AM","2ኛ ቀን አየር AM"
"2nd Day Air AM Letter","2ኛ ቀን አየር AM ፊደል"
"2nd Day Air Letter","2ኛ ቀን አየር ፊደል"
"3 Day Freight","የ3 ቀን ጉዞ ጭነት"
"3 Day Select","የ3 ቀን ምርጫ"
"Access ID","የመዳረሻ መታወቂያ"
"Access license number","የመደራሻ ፍቃድ ቁጥር"
"Account ID","የመለያ መታወቂያ"
"Account number","የሒሳብ ቁጥር"
"Additional Protection Configuration Value","የተጨማሪ ጥበቃ ውቅረት እሴት"
"Additional Protection Enabled","ተጨማሪ ጥበቃ ነቅቷል"
"Additional Protection Min Subtotal","የተጨማሪ ጥበቃ ዝቅተኛ ንዑስ ድምር"
"Additional Protection Value","የተጨማሪ ጥበቃ እሴት"
"Additional Protection Value Rounding Method","የተጨማሪ ጥበቃ እሴት ማዞር ዘዴ"
"All Services","ሁሉም አገልግሎቶች"
"Allowed methods","የተፈቀዱ ዘዴዎች"
"Bound Printed Matter","የታተመ ነገር ማሰር"
"Business Service Center","የንግድ አገልግሎት ማዕከል"
"Calculate Handling Fee","የማሸጊያ ክፍያ አስላ"
"Canada Standard","የካናዳ ደረጃን የጠበቀ"
"Cannot retrieve shipping rates","የማጓጓዣ ተመኖችን ማውጣት አልተቻለም"
"Commercial","የንግድ"
"Configuration","ውቅር"
"Container","መያዣ"
"Customer Packaging","የደንበኛ ጥቅል ስራ"
"DHL","DHL"
"Default Package Height","ነባሪ የጥቅል ቁመት"
"Default Package Length","ነባሪ የጥቅል ርዝመት"
"Default Package Width","ነባሪ የጥቅል ወርድ"
"Delivered","ደርሷል"
"Destination type","የመዳረሻ አይነት"
"Displayed Error Message","የታየው የስህተት መልዕክት"
"Domestic Shipment Days","የሃገር ውስጥ የማጓጓዣ ቀናት"
"Drop Box","መጣያ ሳጥን"
"Dropoff","ቀንሷል"
"Empty response","ባዶ ምላሽ"
"Enable Negotiated Rates","የሚያስማሙ ተመኖችን አንቃ"
"Enabled","ነቅቷል"
"Error #%s : %s (%s)","ስህተት #%s፦ %s (%s)"
"Error #%s: %s","ስህተት #%s፦ %s"
"Europe First Priority","በአውሮፓ የመጀመሪያ ቅድሚያ የሚሰጠው"
"Express","ኤክስፕረስ"
"Express 10:30 AM","ኤክስፕረስ 10:30 AM"
"Express Mail","ኤክስፕረስ ሜይል"
"Express Saturday","ኤክስፕረስ ቅዳሜ"
"Express Saver","ኤክስፕረስ ቆጣቢ"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx 10ኪግ ሳጥን"
"FedEx 25kg Box","FedEx 25ኪግ ሳጥን"
"FedEx Box","FedEx ሳጥን"
"FedEx Envelope","FedEx ፖስታ"
"FedEx Pak","FedEx ጥቅል"
"FedEx Tube","FedEx ቲዩብ"
"First Overnight","First Overnight"
"First-Class","አንደኛ-ደረጃ"
"Flat","ዝርግ"
"Flat-Rate Box","ዝርግ-ተመን ሳጥን"
"Flat-Rate Envelope","ዝርግ-ተመን ፖስታ"
"Free method","ነፃ ዘዴ"
"Free shipping with minimum order amount","ነፃ ማጓጓዣ በዝቅተኛው የትእዛዝ መጠን"
"Gateway URL","Gateway ዩአርኤል"
"Gateway XML URL","Gateway XML ዩአርኤል"
"Ground","Ground"
"Ground Commercial","Ground ንግድ"
"Ground Residential","Ground የመኖሪያ ቤት"
"Handling Applied","ማሸጊያ ተተግብሯል"
"Handling fee","የማሸጊያ ክፍያ"
"Home Delivery","የቤት ለቤት የማድረስ አገልግሎት"
"International Economy","አለምዓቀፍ ኢኮኖሚ"
"International Express","አለምዓቀፍ ኤክስፕረስ"
"International First","አለምዓቀፍ የመጀመሪያ"
"International Priority","አለምዓቀፍ ቅድሚያ"
"International Shipment Days","አለም አቀፍ የማጓጓዣ ቀናት"
"Intl Economy Freight","Intl ኢኮኖሚ ደረጃ ጭነት"
"Intl Priority Freight","Intl ቅድሚያ የሚሰጠው ጭነት"
"Invalid DHL XML code for type %s: %s","ልክ ያልሆነ DHL XML ኮድ ለ%s አይነት፦ %s"
"Invalid DHL XML code type: %s","ልክ ያልሆነ DHL XML ኮድ አይነት፦ %s"
"Invalid FedEx XML code for type %s: %s","ልክ ያልሆነ FedEx XML ኮድ ለ%s አይነት፦ %s"
"Invalid FedEx XML code type: %s","ልክ ያልሆነ FedEx XML ኮድ አይነት፦ %s"
"Invalid UPS CGI code for type %s: %s","ልክ ያልሆነ UPS CGI ኮድ ለ%s አይነት፦ %s"
"Invalid UPS CGI code type: %s","ልክ ያልሆነ UPS CGI ኮድ አይነት፦ %s"
"Invalid USPS XML code for type %s: %s","ልክ ያልሆነ USPS XML ኮድ ለ%s አይነት፦ %s"
"Invalid USPS XML code type: %s","ልክ ያልሆነ USPS XML ኮድ አይነት፦ %s"
"Kilograms","ኪሎግራም"
"Large","ትልቅ"
"Letter","ደብዳቤ"
"Library","ላይብረሪ"
"Machinable","በማሽን ሊሰራ የሚችል"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","ከፍተኛው የጥቅል ክብደት (ለሚፈቀደው ከፍተኛው የማጓጓዝ ክብደት እባክዎ የሚጓጓዝልዎን ድርጅት ያማክሩ)"
"Media Mail","የሚዲያ መልዕክት"
"Minimum order amount for free shipping","ለነፃ ማጓጓዝ ዝቅተኛው የትእዛዝ መጠን "
"Next Afternoon","በቀጣዩ ከሰዓት"
"Next Day Air","የቀጣይ ቀን የአየር"
"Next Day Air Early AM","Next Day Air Early AM"
"Next Day Air Early AM Letter","Next Day Air Early AM ደብዳቤ"
"Next Day Air Intra (Puerto Rico)","Next Day Air Intra (ፖርቶ ሪኮ)"
"Next Day Air Letter","Next Day Air ደብዳቤ"
"Next Day Air Saver","የቀጣይ ቀን አየር ቆጣቢ"
"Next Day Air Saver Letter","የቀጣይ ቀን አየር ቆጣቢ ደብዳቤ"
"No","አይ"
"Non-rectangular","ሬክታንግል ያልሆነ"
"Order","ትእዛዝ"
"Origin of the shipment","የማጓጓዣው መነሻ"
"Oversize","ከመጠን በላይ"
"Package","ጥቅል"
"Package Description","የጥቅል መግለጫ"
"Packaging","መጠቅለያ"
"Parcel","ጥቅል ዕቃ"
"Parcel Post","በፖስታ የሚላክ ጥቅል ዕቃ"
"Password","የይለፍ ቃል"
"Pickup method","የማንሻ ዘዴ"
"Please enter the package weight","እባክዎ የጥቅሉን ክብደት ያስገቡ"
"Please make sure to use only digits here. No dashes are allowed.","እባክዎ እዚህ ላይ አሃዞችን ብቻ መጠቀምዎን እርግጠኛ ይሁኑ። ዳሾች አይፈቀዱም።"
"Pounds","ፖውንድ"
"Priority Mail","ቅድሚያ የሚሰጠው መልዕክት"
"Priority Overnight","ቅድሚያ የሚሰጠው Overnight"
"Receiver","ተቀባይ"
"Rectangular","ሬክታንግል ቅርጽ ያለው"
"Regular","መደበኛ"
"Regular Pickup","መደበኛ ማንሻ"
"Request Courier","የመልዕክት አድራሽ ጥያቄ"
"Residential","የመኖሪያ ቤት"
"Residential Delivery","የመኖሪያ ቤት ማድረስ አገልግሎት"
"Response is in the wrong format","ምላሹ በተሳሳተ ቅርጸት ነው"
"Round","Round"
"Second Day Service","የሁለተኛ ቀን አገልግሎት"
"Sender","ላኪ"
"Ship to Specific countries","ወደ ተወሰኑ አገሮች አገሮች አጓጉዝ"
"Ship to applicable countries","ወደ ተግባራዊ የሆኑ አገሮች አጓጉዝ"
"Shipment Contains Hazardous Materials","የሚጓጓዘው ዕቃ አደገኛ ቁሶችን ይዟል"
"Shipment Dutiable","የሚጓጓዘው ዕቃ ቀረጥ ይጣልበታል"
"Shipment Duty Payment Type","የሚጓጓዘው ዕቃ ቀረጥ ክፍያ አይነት"
"Shipment is not available.","ማጓጓዣ አይገኝም።"
"Shipment picked up","ማጓጓዣ ተነስቷል"
"Shipment type","የማጓጓዣ አይነት"
"Shipper Number","የአጓጓዥ ቁጥር"
"Shipping key","የማጓጓዣ ቁልፍ"
"Shipping key (International)","የማጓጓዣ ቁልፍ (አለምዓቀፍ)"
"Show method if not applicable","ተግባራዊ ካልሆነ ዘዴ አሳይ"
"Size","መጠን"
"Sort order","ትእዛዝ ደርድር"
"Standard Overnight","Standard Overnight"
"Station","ጣቢያ"
"Subtotal","ንዑስ ድምር"
"Subtotal With Discount","ንዑስ ድምር ከነቅናሹ"
"There is no available method for selected shipping address.","ለተመረጠው የማጓጓዣ አድራሻ የሚገኝ ዘዴ የለም።"
"Third Party","ሶስተኛ ወገን"
"Title","ርዕስ"
"To lower","ወደ ታች"
"To upper","ወደ ላይ"
"Tracking XML URL","የመከታተያ XML ዩአርኤል"
"UPS","UPS"
"UPS Expedited","UPS Expedited"
"UPS Express","UPS ፈጣን መልዕክት"
"UPS Express Box","UPS የፈጣን መልዕክት ሳጥን"
"UPS Express Early A.M.","UPS ፈጣን መልዕክት በጊዜ ማታ"
"UPS Express Plus","UPS የፈጣን መልዕክት ተጨማሪ"
"UPS Ground","UPS Ground"
"UPS Letter Envelope","UPS የደብዳቤ ፖስታ"
"UPS Next Day Air","UPS የቀጣይ ቀን የአየር"
"UPS Next Day Air Early A.M.","UPS የቀጣይ ቀን የአየር "
"UPS Next Day Air Saver","UPS የቀጣይ ቀን የአየር"
"UPS Saver","UPS Saver"
"UPS Second Day Air","UPS የቀጣይ ቀን የአየር"
"UPS Second Day Air A.M.","UPS Second Day Air A.M."
"UPS Standard","UPS መደበኛ"
"UPS Three-Day Select","UPS Three-Day Select"
"UPS Today Dedicated Courrier","UPS Today Dedicated Courrier"
"UPS Today Express","UPS ፈጣን መልዕክት"
"UPS Today Express Saver","UPS Today Express Saver"
"UPS Today Intercity","UPS Today Intercity"
"UPS Today Standard","UPS Today Standard"
"UPS Tube","UPS Tube"
"UPS Worldwide 10 kilo","UPS Worldwide 10 ኪሎ"
"UPS Worldwide 25 kilo","UPS Worldwide 25 ኪሎ"
"UPS Worldwide Expedited","UPS Worldwide Expedited"
"UPS Worldwide Express","UPS Worldwide Express"
"UPS Worldwide Express Plus","UPS Worldwide Express Plus"
"UPS Worldwide Express PlusSM","UPS Worldwide Express PlusSM"
"UPS type","UPS ዓይነት"
"USPS","USPS"
"Unable to retrieve tracking","መከታተያን ማውጣት አልተቻለም"
"United Parcel Service","United Parcel Service"
"United Parcel Service XML","United Parcel Service XML"
"Unknown error","ያልታወቀ ስህተት"
"Used only when 'Additional Protection Value' is set to 'Configuration'. Can contain only numeric amount.","«የተጨማሪ ጥበቃ እሴት»  ወደ «ውቅረት» ሲዘጋጅ ብቻ አገልግሎት ላይ ይውላል። ቁጥራዊ መጠን ብቻ ሊይዝ ይችላል።"
"User ID","የተጠቃሚ መታወቂያ"
"UserId","የተጠቃሚመታወቂያ"
"Variable","ተለዋዋጭ"
"Weight Unit","የክብደት አሃድ"
"Worldwide Expedited","Worldwide Expedited"
"Worldwide Express","Worldwide Express"
"Worldwide Express Letter","Worldwide Express ደብዳቤ"
"Worldwide Express Plus","Worldwide Express Plus"
"Worldwide Express Plus Letter","Worldwide Express Plus ደብዳቤ"
"Worldwide Express Saver","Worldwide Express Saver"
"Yes","አዎ"
"Your Packaging","የእርስዎ መጠቅለያ"
